"week","rank_away","rank_home","game_type","neutral","q1_home","q2_home","q3_home","q4_home","first_downs_home","fum_home","int_home","pen_num_home","pen_yards_home","possession_home","spread","home_win","Home Third Down Completion Rate ","Home Pass Completion Rate","home_season","Run-Pass Ratio","Rush Yards - Total Yards"
14,1,3,"regular","True",0,24,7,10,25,0,0,7,85,25.78,17,"Win",0.5,0.5909090909090909,"Alabama_2021",0.5909090909090909,0.21455223880597016
17,4,1,"post","True",7,10,0,10,27,0,1,6,36,33.68,21,"Win",0.38461538461538464,0.6071428571428571,"Alabama_2021",1.6785714285714286,0.6244813278008299
17,3,1,"post","True",3,6,0,9,22,0,2,6,42,31.53,-15,"Loss",0.45,0.6140350877192983,"Alabama_2021",0.49122807017543857,0.07518796992481203
1,26,1,"regular","False",17,24,14,0,30,0,1,6,40,31.85,55,"Win",0.6,0.675,"Alabama_2022",0.8,0.49731663685152055
3,26,2,"regular","False",28,7,14,14,23,0,2,6,60,23.62,56,"Win",0.16666666666666666,0.65,"Alabama_2022",1.95,0.5363457760314342
4,26,2,"regular","False",14,17,10,14,34,1,0,6,55,32.28,52,"Win",0.5833333333333334,0.6976744186046512,"Alabama_2022",0.7906976744186046,0.3630573248407643
6,26,1,"regular","False",0,17,7,0,24,3,1,6,73,29.93,4,"Win",0.35714285714285715,0.631578947368421,"Alabama_2022",2.6842105263157894,0.7204030226700252
8,24,6,"regular","False",7,17,0,6,21,0,0,3,20,29.52,24,"Win",0.47058823529411764,0.5945945945945946,"Alabama_2022",0.7297297297297297,0.1
12,26,8,"regular","False",7,10,10,7,27,2,1,4,30,35.68,34,"Win",0.4166666666666667,0.7333333333333333,"Alabama_2022",1.5,0.4990512333965844
13,26,7,"regular","False",14,21,7,7,26,0,1,11,102,28.83,22,"Win",0.6666666666666666,0.6666666666666666,"Alabama_2022",1.1333333333333333,0.33527131782945735
1,26,4,"regular","False",14,14,14,14,23,0,0,2,19,29.05,49,"Win",0.7692307692307693,0.7083333333333334,"Alabama_2023",1.6666666666666667,0.4756380510440835
2,11,3,"regular","False",0,6,10,8,18,0,2,10,90,27.48,-10,"Loss",0.35714285714285715,0.5185185185185185,"Alabama_2023",1.2962962962962963,0.2955801104972376
4,15,13,"regular","False",3,3,11,7,20,0,1,6,60,34.38,14,"Win",0.46153846153846156,0.8095238095238095,"Alabama_2023",2.142857142857143,0.36797752808988765
7,26,11,"regular","False",7,14,3,0,18,0,0,5,45,29.82,3,"Win",0.42857142857142855,0.47619047619047616,"Alabama_2023",2.0,0.42650602409638555
8,17,11,"regular","False",0,7,17,10,20,1,1,1,5,32.32,14,"Win",0.38461538461538464,0.6666666666666666,"Alabama_2023",2.0,0.3854748603351955
10,14,8,"regular","False",14,7,14,7,28,0,0,6,50,33.55,14,"Win",0.7857142857142857,0.6521739130434783,"Alabama_2023",2.0,0.5680473372781065
12,26,8,"regular","False",21,17,14,14,21,0,0,3,25,26.48,56,"Win",0.6666666666666666,0.7916666666666666,"Alabama_2023",1.375,0.5487804878048781
14,1,8,"regular","True",3,14,3,7,20,0,0,3,36,31.15,3,"Win",0.23076923076923078,0.5652173913043478,"Alabama_2023",1.7826086956521738,0.37254901960784315
1,26,5,"regular","False",21,21,14,7,25,1,0,7,59,30.58,63,"Win",0.6153846153846154,0.6666666666666666,"Alabama_2024",2.611111111111111,0.5566666666666666
2,26,4,"regular","False",7,7,0,28,20,3,0,13,120,31.07,26,"Win",0.38461538461538464,0.6153846153846154,"Alabama_2024",1.6153846153846154,0.5063613231552163
5,2,4,"regular","False",21,9,3,8,21,0,1,10,90,32.57,7,"Win",0.2727272727272727,0.8181818181818182,"Alabama_2024",0.9090909090909091,0.32123411978221417
7,26,7,"regular","False",7,7,0,13,20,0,2,7,67,28.28,2,"Win",0.45454545454545453,0.6956521739130435,"Alabama_2024",1.6521739130434783,0.33226837060702874
9,21,15,"regular","False",3,10,14,7,22,0,0,7,85,29.98,34,"Win",0.2222222222222222,0.6153846153846154,"Alabama_2024",1.4230769230769231,0.5576131687242798
12,26,10,"regular","False",14,17,7,14,29,0,0,6,60,33.8,45,"Win",0.5333333333333333,0.6571428571428571,"Alabama_2024",1.2,0.3720472440944882
14,26,13,"regular","False",7,7,14,0,25,3,1,6,66,36.58,14,"Win",0.6666666666666666,0.75,"Alabama_2024",2.25,0.43982494529540483
2,26,26,"regular","False",35,21,7,10,26,0,1,7,69,25.85,66,"Win",0.5,0.5714285714285714,"Arkansas_2014",2.857142857142857,0.7236842105263158
4,26,26,"regular","False",21,7,7,17,24,0,0,4,30,34.63,38,"Win",0.7142857142857143,0.6956521739130435,"Arkansas_2014",1.9565217391304348,0.4964871194379391
7,7,26,"regular","False",0,6,7,0,18,2,1,4,28,34.22,-1,"Loss",0.47368421052631576,0.525,"Arkansas_2014",0.975,0.2656716417910448
8,10,26,"regular","False",6,0,13,13,29,2,2,7,79,34.9,-13,"Loss",0.5333333333333333,0.6222222222222222,"Arkansas_2014",0.8222222222222222,0.2985781990521327
9,26,26,"regular","False",14,21,10,0,24,1,0,2,9,35.97,28,"Win",0.46153846153846156,0.6153846153846154,"Arkansas_2014",1.7692307692307692,0.5640495867768595
12,17,26,"regular","False",3,7,0,7,17,0,0,4,43,31.9,17,"Win",0.5882352941176471,0.5925925925925926,"Arkansas_2014",1.4074074074074074,0.35984848484848486
13,8,26,"regular","False",17,0,10,3,17,1,0,6,44,34.02,30,"Win",0.26666666666666666,0.47058823529411764,"Arkansas_2014",2.9411764705882355,0.5112540192926045
1,26,18,"regular","False",14,14,17,3,18,0,0,6,68,29.32,35,"Win",0.45454545454545453,0.7,"Arkansas_2015",1.7,0.37142857142857144
2,26,18,"regular","False",0,7,0,5,30,0,1,9,85,37.92,-4,"Loss",0.38461538461538464,0.6037735849056604,"Arkansas_2015",0.5849056603773585,0.2
3,26,26,"regular","False",7,14,3,0,23,1,1,5,43,36.72,-11,"Loss",0.6363636363636364,0.7619047619047619,"Arkansas_2015",2.0476190476190474,0.5377358490566038
4,14,26,"regular","True",7,0,7,7,25,1,1,11,93,39.47,-7,"Loss",0.5,0.8,"Arkansas_2015",1.68,0.5076586433260394
8,26,26,"regular","False",7,7,7,3,29,0,1,3,25,32.85,8,"Win",0.5625,0.625,"Arkansas_2015",1.53125,0.4660831509846827
9,26,26,"regular","False",7,28,21,7,22,0,0,3,25,28.72,35,"Win",0.42857142857142855,0.75,"Arkansas_2015",1.8,0.49238578680203043
12,26,26,"regular","False",7,14,21,8,24,0,0,1,9,32.15,-1,"Loss",0.5714285714285714,0.6976744186046512,"Arkansas_2015",0.6744186046511628,0.1524008350730689
13,26,26,"regular","False",7,14,7,0,19,0,1,1,5,40.25,25,"Win",0.4,0.6470588235294118,"Arkansas_2015",3.0588235294117645,0.6709677419354839
17,26,26,"post","True",14,10,7,14,30,0,1,2,20,37.5,22,"Win",0.6,0.7692307692307693,"Arkansas_2015",1.6153846153846154,0.44639718804920914
1,26,26,"regular","False",7,7,0,7,21,0,2,4,35,36.68,1,"Win",0.25,0.6896551724137931,"Arkansas_2016",1.3793103448275863,0.3569023569023569
3,26,24,"regular","False",14,21,7,0,26,1,0,7,40,34.48,39,"Win",0.4444444444444444,0.7272727272727273,"Arkansas_2016",2.0,0.48394004282655245
